# HVD_Sequences
#
# History:
#
# 2021-12-24 Initial registration of Hieroglyphic Variation sequences by the Egyptian ad-hoc working group.
#
# This file is part of the Unicode Hieroglyphic Variation Database (HVD).
# For more details on the HVD, see UTS #37:
# https://www.unicode.org/reports/tr37/
#
# Copyright 2021 Unicode, Inc.
# For terms of use, see: https://www.unicode.org/copyright.html#8
#

# Rotations
13083 FE01; Egyptian Ad-Hoc Working Group; D13 Rotated 180
13091 FE00; Egyptian Ad-Hoc Working Group; D27 Rotated 90
13092 FE00; Egyptian Ad-Hoc Working Group; D27A Rotated 90
13093 FE00; Egyptian Ad-Hoc Working Group; D28 Rotated 90
13093 FE01; Egyptian Ad-Hoc Working Group; D28 Rotated 180
13098 FE00; Egyptian Ad-Hoc Working Group; D32 Rotated 90
1309D FE02; Egyptian Ad-Hoc Working Group; D36 Rotated 270
130A7 FE00; Egyptian Ad-Hoc Working Group; D46 Rotated 90
130A9 FE01; Egyptian Ad-Hoc Working Group; D47 Rotated 180
1310B FE01; Egyptian Ad-Hoc Working Group; F13 Rotated 180
1310F FE00; Egyptian Ad-Hoc Working Group; F16 Rotated 90
13111 FE00; Egyptian Ad-Hoc Working Group; F18 Rotated 90
13111 FE01; Egyptian Ad-Hoc Working Group; F18 Rotated 180
13117 FE02; Egyptian Ad-Hoc Working Group; F23 Rotated 270
1311C FE00; Egyptian Ad-Hoc Working Group; F28 Rotated 90
13121 FE00; Egyptian Ad-Hoc Working Group; F32 Rotated 90
13122 FE01; Egyptian Ad-Hoc Working Group; F33 Rotated 180
13128 FE01; Egyptian Ad-Hoc Working Group; F38 Rotated 180
1312B FE00; Egyptian Ad-Hoc Working Group; F40 Rotated 90
1312D FE01; Egyptian Ad-Hoc Working Group; F42 Rotated 180
1312F FE00; Egyptian Ad-Hoc Working Group; F44 Rotated 90
13139 FE00; Egyptian Ad-Hoc Working Group; F51 Rotated 90
13139 FE02; Egyptian Ad-Hoc Working Group; F51 Rotated 270
1313D FE01; Egyptian Ad-Hoc Working Group; F52 Rotated 180
1313D FE02; Egyptian Ad-Hoc Working Group; F52 Rotated 270
13183 FE02; Egyptian Ad-Hoc Working Group; H5 Rotated 270
13187 FE01; Egyptian Ad-Hoc Working Group; H8 Rotated 180
13191 FE00; Egyptian Ad-Hoc Working Group; I9 Rotated 90
131A0 FE00; Egyptian Ad-Hoc Working Group; K6 Rotated 90
131AD FE02; Egyptian Ad-Hoc Working Group; M1 Rotated 270
